month	deleted_creations
200101	15
200102	46
200103	35
200104	15
200105	53
200106	33
200107	23
200108	49
200109	101
200110	151
200111	123
200112	101
200201	24
200202	262
200203	65
200204	39
200205	35
200206	50
200207	52
200208	70
200209	153
200210	212
200211	107
200212	118
200301	185
200302	170
200303	134
200304	157
200305	194
200306	266
200307	303
200308	351
200309	297
200310	236
200311	319
200312	347
200401	345
200402	561
200403	859
200404	943
200405	864
200406	934
200407	1058
200408	1135
200409	1218
200410	1408
200411	1626
200412	1864
200501	1906
200502	1797
200503	2658
200504	3484
200505	4109
200506	6554
200507	14772
200508	16654
200509	15751
200510	22950
200511	23739
200512	20577
200601	19787
200602	19885
200603	24722
200604	25931
200605	29957
200606	26631
200607	26956
200608	30847
200609	30769
200610	34862
200611	36856
200612	35653
200701	38421
200702	38879
200703	39253
200704	37652
200705	36421
200706	30000
200707	28336
200708	26817
200709	27835
200710	30775
200711	28508
200712	22651
200801	22410
200802	22546
200803	24998
200804	26709
200805	26201
200806	21802
200807	22202
200808	23036
200809	21736
200810	24233
200811	24163
200812	22484
200901	22855
200902	27124
200903	24102
200904	22051
200905	21183
200906	19423
200907	27364
200908	20342
200909	20174
200910	21491
200911	20693
200912	18887
201001	19921
201002	20045
201003	21345
201004	17363
201005	15841
201006	14324
201007	13886
201008	14194
201009	13895
201010	14655
201011	14011
201012	13736
201101	15366
201102	13837
201103	15340
201104	13770
201105	13931
201106	12833
201107	12853
201108	12020
201109	11770
201110	11776
201111	12607
201112	10177
201201	9646
201202	11558
201203	10340
201204	9758
201205	8884
201206	8154
201207	7921
201208	7498
201209	7290
201210	7957
201211	7719
201212	7140
201301	7728
201302	7106
201303	8098
201304	9239
201305	7855
201306	6858
201307	7125
201308	7794
201309	6986
201310	7351
201311	7729
201312	7623
201401	8460
201402	7649
201403	8452
201404	8372
201405	8682
201406	7542
201407	7785
201408	7506
201409	8027
201410	7877
201411	8202
201412	7694
201501	8377
201502	8509
201503	8777
201504	8589
201505	8452
201506	8848
201507	8449
201508	8456
201509	8743
201510	8428
201511	8423
201512	7966
201601	8737
201602	8496
201603	8843
201604	8782
201605	9797
201606	8298
201607	7817
201608	7999
201609	7998
201610	6978
201611	1296
